control	verdict	named failure	baseline green	restored green	source identical	classes identical
menu-exit	caught	MenuLayoutFrameTest#projectSourcesAndAuditHaveTheirOwnActions	True	True	True	True
menu-close-graph-item	caught	MenuLayoutFrameTest#projectSourcesAndAuditHaveTheirOwnActions	True	True	True	True
menu-reset-item	caught	MenuLayoutFrameTest#projectSourcesAndAuditHaveTheirOwnActions	True	True	True	True
menu-recent-log	caught	MenuLayoutFrameTest#projectSourcesAndAuditHaveTheirOwnActions	True	True	True	True
menu-reset-human	caught	MenuLayoutFrameTest#closeBothFromItsMenuKeepsProjectAndCharts	True	True	True	True
menu-reset-topology	caught	MenuLayoutFrameTest#closeBothFromItsMenuKeepsProjectAndCharts	True	True	True	True
menu-help-s3	caught	MenuDocumentationTest#documentedPathsNameExistingItems	True	True	True	True
menu-doc-ai	caught	MenuDocumentationTest#documentedPathsNameExistingItems	True	True	True	True
menu-java-path	caught	MenuDocumentationTest#documentedPathsNameExistingItems	True	True	True	True
menu-close-log-human	caught	MenuLayoutFrameTest#closeLogFromItsMenuPreservesTheProjectAndSavedChart	True	True	True	True
menu-close-graph-human	caught	MenuLayoutFrameTest#closeGraphFromItsMenuKeepsLogProjectAndCharts	True	True	True	True
menu-hint-renamed	caught	MenuHintsTest#theRenamedResetPointsAtItsNewName_whateverSpellingWasUsed	True	True	True	True
menu-hint-keeps-qualifiers	caught	MenuHintsTest#anUnknownQualifierGetsNoIdentityClaim	True	True	True	True
menu-hint-same-menu-first	caught	MenuHintsTest#aSpellingMissInsideTheAskedMenuStaysInThatMenu	True	True	True	True
menu-hint-wired	caught	NamedGraphAndMenuSpotlightFrameTest#aMenuMissSaysWhereTheItemIs_andContextListsTheMenus	True	True	True	True
context-menus	caught	NamedGraphAndMenuSpotlightFrameTest#aMenuMissSaysWhereTheItemIs_andContextListsTheMenus	True	True	True	True
context-menu-changes	caught	NamedGraphAndMenuSpotlightFrameTest#aMenuMissSaysWhereTheItemIs_andContextListsTheMenus	True	True	True	True
m44-graph-open-is-its-own-fact	caught	SessionFactsTest#aGraphWithNoFileIsStillOpen	True	True	True	True
m44-post-queues-mid-operation	caught	SessionFactsTest#aFactPostedMidOperationIsQueued	True	True	True	True
m44-stale-fact-refused	caught	SessionFactsTest#aStaleFactIsRefused	True	True	True	True
m44-snapshot-published	caught	SessionSnapshotTest#theSnapshotFollowsEachOperation	True	True	True	True
m44-snapshot-change-only	caught	SessionSnapshotTest#listenersHearChangesOnly	True	True	True	True
m44-graph-revision	caught	SessionSnapshotTest#aDifferentArtefactIsADifferentPair	True	True	True	True
m44-rescope-ring	caught	SessionSnapshotTest#reScopesNeverEvictTransitions	True	True	True	True
m44-frame-computes-no-pairing	caught	SessionSnapshotTest#theFrameRendersAndDoesNotCompute	True	True	True	True
m44-rescope-keeps-qualifications	caught	PairingQualifierTest#aReScopeKeepsItStale	True	True	True	True
m44-stale-comparison-refused	caught	PairingQualifierTest#aStaleComparisonIsRefused	True	True	True	True
m44-pending-is-the-gates	caught	PairingQualifierTest#aPendingOpenPublishesNoVerdict	True	True	True	True
m44-frame-holds-no-verdict-field	caught	SessionSnapshotTest#theFrameRendersAndDoesNotCompute	True	True	True	True
m44-qualifier-follows-the-pair	caught	SessionGraphShapeTest#theQualifierFollowsThePairAndActsOnNothing	True	True	True	True
m44-journey-pending	caught	SessionLifecycleJourneysTest#aGraphOpenedDuringTheNextLoadIsJudgedAgainstTheNewLog	True	True	True	True
m44-journey-scope	caught	SessionLifecycleJourneysTest#openOrderDoesNotChangeTheVerdict	True	True	True	True
m44-journey-stale-by-size	caught	SessionLifecycleJourneysTest#aFollowAppendMakesTheWholeLogComparisonStale	True	True	True	True
m44-journey-close-retires	caught	SessionLifecycleJourneysTest#closingTheLogRetiresEverythingAboutIt	True	True	True	True
m68-4-reader-graph-not-intent	caught	CombinedOpenTest#aReaderGraphIsNotIntent	True	True	True	True
m68-4-residue-still-closed	caught	CombinedOpenTest#aGraphFromBeforeTheRequestIsStillResidue	True	True	True	True
m68-4-reopen-is-intent	caught	CombinedOpenTest#reOpeningTheSameGraphIsIntent	True	True	True	True
m68-5-prefix-compared	caught	FollowIdentityTest#sameLengthRewrite	True	True	True	True
m68-5-store-refuses-rewrite	caught	HeapLogStoreFollowIdentityTest#sameLengthRewrite	True	True	True	True
m68-5-reopen-says-why	caught	LogIdentityTest#aReopenAfterReplacementSaysWhy	True	True	True	True
m68-5-moving-read-unverified	caught	FollowIdentityTest#missingOrMoving	True	True	True	True
m68-5-suspended-reads-refused	caught	ActionDispatcherReadIdentityTest#suspendedRefuses	True	True	True	True
m68-5-in-memory-retained	caught	ReadThroughIdentityTest#inMemoryIsRetained	True	True	True	True
m68-5-mapped-reads-through	caught	MappedLogStoreReadIdentityTest#inPlaceRewrite	True	True	True	True
m68-5-pointer-names-root	caught	ProjectModelTest#aFailingPointerNamesTheRootItTried	True	True	True	True
m68-5-resolution-names-root	caught	RunbooksResolutionTest#notFoundNamesTheRoot	True	True	True	True
m68-2-chart-laid-out-at-page-size	caught	ChartExportRenderTest#aNarrowChartExportsItsPlot	True	True	True	True
m68-2-no-room-is-not-no-data	caught	ChartExportRenderTest#noRoomIsNotNoData	True	True	True	True
m68-2-not-rendered-stated	caught	ReportRendererTest#aChartWithNoPictureSaysItWasNotRendered	True	True	True	True
m68-6-quoted-compatible-address	caught	ChartNamingTest#everyNameHasAnAddress	True	True	True	True
m68-6-verb-refuses-at-creation	caught	ChartNamingTest#theVerbRefusesAtCreation	True	True	True	True
m68-6-repair-applies-the-rule	caught	DuplicateChartRepairTest#aRepairCannotCreateANameSpotlightCannotAddress	True	True	True	True
m68-4-rolled-set-with-graph	caught	WholeOrRefusedTest#aRolledSetAndAGraphAreBothOpened	True	True	True	True
m68-4-flag-never-clamps	caught	WholeOrRefusedTest#flagRefusesAnIndexTheLogDoesNotHave	True	True	True	True
m68-4-topology-validates-first	caught	TopologyWholeOrRefusedTest#aRefusalIsWhole	True	True	True	True
m68-4-refusal-keeps-spotlight	caught	SpotlightEndsWhenTheViewChangesTest#aRefusedCallLeavesItLit	True	True	True	True
m68-4-refusal-names-unknown-keys	caught	WholeOrRefusedTest#aRefusalNamesUnknownKeys	True	True	True	True
m68-4-goto-empty-log	caught	SpotlightEndsWhenTheViewChangesTest#aRefusedCallLeavesItLit	True	True	True	True
m68-3-quoted-key-is-text	caught	FramingScanTest#aQuotedKeyIsText	True	True	True	True
m68-3-legal-file-not-accused	caught	ProducerFramingTest#aLegalOneRecordFileIsNotAccused	True	True	True	True
m68-3-apostrophe-opens-nothing	caught	FramingScanTest#anApostropheIsNotAQuote	True	True	True	True
m68-3-pending-frame-scanned	caught	ProducerFramingTest#aLiveCollapseIsSuspectedFromThePendingFrame	True	True	True	True
